(76, 'Plugg Music', '2022-09-30', 'https://i.scdn.co/image/ab67616d0000b273e5a884fa5fdbe391fad7eb73', '2pxf2Kl4Zwdn2VC3Msq4f3', 'MPREb_oHZc5XSnGD3'),
(77, 'Panzer surprise !', '2017-04-28', 'https://i.scdn.co/image/ab67616d0000b273eb456dd3cdfc2b81c3bfe9e1', '1JqyYdFg79vp670PswBayz', 'MPREb_PaIE4Xttypz'),
(78, 'Glimpse of Us', '2022-06-10', 'https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7', '6ZZvx0aefZV3LKa053fn71', 'MPREb_BayrZQ6kvB9'),
(79, 'The Satanist', '2014-02-07', 'https://i.scdn.co/image/ab67616d0000b273180987ab035f6ae9d4459415', '3KMD4mCBn8KS8bhtwn3cnq', 'MPREb_oY3g6Xsl7RN'),
(80, 'A New Kind of Horror', '2018-09-28', 'https://i.scdn.co/image/ab67616d0000b2732062374a30e7d9604293d659', '7ML6J0j6KW0Y3X6N6qvTta', 'MPREb_1RpiYKfI6Sk'),
(81, 'Recordings', '2001-01-01', 'https://i.scdn.co/image/ab67616d0000b273f3116dbc986119079b63042c', '1o879sqGHBO9o590yCFs4n', 'MPREb_SJjBJHxLb1b'),
(82, 'In Absentia (Deluxe - Remastered)', '2002-09-24', 'https://i.scdn.co/image/ab67616d0000b2738e53b9eb8dbdafd5ff46b500', '38d7C2XIoUX0v5cU0HuSSW', 'MPREb_3uDuNoLztM5'),
(83, 'Dr. Feelgood (Deluxe Version)', '1989-09-01', 'https://i.scdn.co/image/ab67616d0000b27357338231dc4a85d5aed03186', '23krn1eEy7o3u9laLI1PLD', 'MPREb_w8lVUfdv3cS'),
(84, 'The Boy Who Died Wolf', '2016-11-18', 'https://i.scdn.co/image/ab67616d0000b27345a49da4110d34f76a717d5d', '3TC40H9dIJArFzy0rWnWCg', 'MPREb_GMBUFftcpXD'),
(85, 'Absolution', '2019-06-28', 'https://i.scdn.co/image/ab67616d0000b273835a3c3710fdfca00a421b98', '5kwrlMkVVpba4pHFNiyIep', 'MPREb_0555pYG1UbT'),
(86, "Un giorno all'alba", '2021-12-03', 'https://i.scdn.co/image/ab67616d0000b273fd17934b3ac69f36be99b271', '47qmO4mZIIbZypj9IguEiw', 'MPREb_Yl0RZ5naVeg'),
(87, 'The Sin and the Sentence', '2017-10-20', 'https://i.scdn.co/image/ab67616d0000b27349297ff523b7098a50195711', '3qq44o8Qqvz5JQ7b5AevLT', 'MPREb_VlDXs7DRlyB'),
(88, 'Nomad', '2017-09-29', 'https://i.scdn.co/image/ab67616d0000b27374ef44a0fead86c42b87dc61', '4XOJCBjxUbqrbSJkBrjlDu', 'MPREb_JSMpkLP3BoY'),
(89, 'Stranger Shores', '2018-04-07', 'https://i.scdn.co/image/ab67616d0000b273b8ba25b6b4d2a3c9056f9e7a', '0BrrdwuMXAKzc5Tj7SzqZX', 'MPREb_l83l2me45Ie'),
(90, 'Low', '1997-01-14', 'https://i.scdn.co/image/ab67616d0000b273238d717294aa1401c2d4b938', '6Iy0YmPlXUc30fv2Pi6J2v', 'MPREb_U1QsaDCbIEQ'),
(91, 'Koi No Yokan', '2012-11-12', 'https://i.scdn.co/image/ab67616d0000b27373652b7a0dc388dd1d044b69', '4PIVdqvL1Rc7T7Vfsr8n8Q', 'MPREb_dTcurGrpbeJ'),
(92, 'Take to the Skies', '2007-03-19', 'https://i.scdn.co/image/ab67616d0000b27393c23370a4a85cb8425ed764', '5cO7wtkaJCY3SiV6g0MKHE', 'MPREb_pkybi7xlV9n'),
(93, 'Damnation', '2003-04-22', 'https://i.scdn.co/image/ab67616d0000b2733d703747193c3d6d1cb12173', '4FmI0F5GvvR1M9RURWnJV9', 'MPREb_7ao9bZPsiyL'),
